DATE,ROI,HUSHEN,INDEX,NETWORTH,,,,
7月21日2021年,0.00%,0.00%,5144.04,1,,,,
7月23日2021年,0.00%,-1.07%,5089.23,1,,,,
7月30日2021年,0.00%,-6.47%,4811.17,1.000 ,,,,
8月6日2021年,0.10%,-4.33%,4921.56,1.001 ,,,,
